"nombre","telefono","correo","estrellas","opiniones","pagina_web","clasificacion_sitio","anio_sitio","es_lead","categoria","direccion","zona","maps_url"
"nailsfactory","099 164 4009","","3.7","72","https://nailsfactoryuio.com/","sitio_propio","","true","Peluquería","y Antonio, Av. Cristóbal Vaca de Castro y A. de la Gama, Quito","Cotocollao, Quito","https://www.google.com/maps/place/nailsfactory/data=!4m7!3m6!1s0x91d59bb79cde6d09:0x29a491f5e206fd86!8m2!3d-0.1290917!4d-78.5005205!16s%2Fg%2F11pd130jj6!19sChIJCW3enLeb1ZERhv0G4vWRpCk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Emy Nails Peluquería - Quito","099 470 7030","","4","8","","ninguno","","true","Centro de estética","Nazareth, 170103 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Emy+Nails+Peluquer%C3%ADa+-+Quito/data=!4m7!3m6!1s0x91d585046b674967:0xe11be9a22d009c6e!8m2!3d-0.1218574!4d-78.4935138!16s%2Fg%2F11qs92jfcz!19sChIJZ0lnawSF1ZERbpwALaLpG-E?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria Adelita","099 838 4202","","5","7","","ninguno","","true","Centro de estética","VFJX+46X, José H. Figueroa, 170103 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Peluqueria+Adelita/data=!4m7!3m6!1s0x91d585126db5a7cf:0xb7f2be60fa002fad!8m2!3d-0.1196429!4d-78.5018951!16s%2Fg%2F1ptx1nb3n!19sChIJz6e1bRKF1ZERrS8A-mC-8rc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"La Coqueteria","096 293 1041","","4.3","10","https://www.instagram.com/lacoqueteria.ec/","solo_red_social","","true","Tienda de productos de belleza","170301 Quito","Cotocollao, Quito","https://www.google.com/maps/place/La+Coqueteria/data=!4m7!3m6!1s0x91d585bff4827815:0xead76f6375fb25ba!8m2!3d-0.1189129!4d-78.4940716!16s%2Fg%2F11tn86rf4q!19sChIJFXiC9L-F1ZERuiX7dWNv1-o?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Mabe Beauty Salon","098 942 9395","","4.3","33","","ninguno","","true","Centro de estética","Av. Cristóbal Vaca de Castro Oe4-400, 170301 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Mabe+Beauty+Salon/data=!4m7!3m6!1s0x91d58541c9fbca77:0xba50fe06cd111260!8m2!3d-0.1292671!4d-78.4947016!16s%2Fg%2F11gs906ym1!19sChIJd8r7yUGF1ZERYBIRzQb-ULo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluquería Gino","","","4.9","14","","ninguno","","true","Barbería","Calle y Aurelio Espinoza Polit N64-34, 170301 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Peluquer%C3%ADa+Gino/data=!4m7!3m6!1s0x91d585e19622b813:0x79ea05ae4eed834c!8m2!3d-0.1173086!4d-78.4940213!16s%2Fg%2F11t3hx5fnx!19sChIJE7giluGF1ZERTIPtTq4F6nk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Estilos Gaby Peluquería","096 899 3340","","4.4","7","","ninguno","","true","Centro de estética","Bernardo de Legarda Oe7-12, 170103 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Estilos+Gaby+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d5850c36450f69:0xd9ed2ca8d9ae6ef7!8m2!3d-0.1163033!4d-78.5023128!16s%2Fg%2F11gmzfkvjm!19sChIJaQ9FNgyF1ZER926u2ags7dk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Nahomi Peluqueria","","","4.7","27","","ninguno","","true","Barbería","VFMX+PC7, Bernardo de Legarda, 170103 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Nahomi+Peluqueria/data=!4m7!3m6!1s0x91d5850c5ccee3b1:0x1cd8645b831c502!8m2!3d-0.11572!4d-78.5014566!16s%2Fg%2F11c6w9mqvr!19sChIJsePOXAyF1ZERAsUxuEWGzQE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Shadows Peluqueria","099 536 8889","","4.5","106","","ninguno","","true","Centro de estética","Av. de la Prensa N57-50 y, 170104 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Shadows+Peluqueria/data=!4m7!3m6!1s0x91d58546c995e577:0x6417bfcdf16089ed!8m2!3d-0.1326894!4d-78.4938259!16s%2Fg%2F11c6_y7hpp!19sChIJd-WVyUaF1ZER7Ylg8c2_F2Q?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria Cecy","","","4.5","25","","ninguno","","true","Peluquería","VGQ4+3HX, Ramon Chiriboga, 170144 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Peluqueria+Cecy/data=!4m7!3m6!1s0x91d5857435af2f31:0xa61dbbf37ca44411!8m2!3d-0.1122658!4d-78.493523!16s%2Fg%2F11c526n1fq!19sChIJMS-vNXSF1ZEREUSkfPO7HaY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria Kchito","099 904 5773","","4.5","10","","ninguno","","true","Peluquería","Angel Ludeña y Martin Ochoa &, 170132 Quito","Cotocollao, Quito","https://www.google.com/maps/place/Peluqueria+Kchito/data=!4m7!3m6!1s0x91d58515fdeb2e6d:0x75a58ef32c7cd336!8m2!3d-0.1283613!4d-78.5034805!16s%2Fg%2F11d_y5blmg!19sChIJbS7r_RWF1ZERNtN8LPOOpXU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"VELVET NAILS","098 473 0197","","4.5","48","https://www.facebook.com/velvetnailsquito/?ref=bookmarks","solo_red_social","","true","Salón de manicura y pedicura","VGM4+H7W, Av. de la Prensa, 170103 Quito","Cotocollao, Quito","https://www.google.com/maps/place/VELVET+NAILS/data=!4m7!3m6!1s0x91d585406e3fee5d:0x6338ec789916b658!8m2!3d-0.1160105!4d-78.494294!16s%2Fg%2F11jn2dtr5c!19sChIJXe4_bkCF1ZERWLYWmXjsOGM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"GOLDEN CAPELLI","099 596 7624","","3.7","17","","ninguno","","true","Peluquería","VGC3+76F, Y, Av. Cristóbal Vaca de Castro & Simón Cárdenas, Quito","Cotocollao, Quito","https://www.google.com/maps/place/GOLDEN+CAPELLI/data=!4m7!3m6!1s0x91d58540135d72fb:0x39c5ba34a8588308!8m2!3d-0.1293225!4d-78.4969658!16s%2Fg%2F11csbq_3wl!19sChIJ-3JdE0CF1ZERCINYqDS6xTk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"EDER SALON & BARBERIA","097 893 2234","","4.9","163","https://ederpeluqueria.com/","sitio_propio","","true","Centro de estética","Av Del Maestro, y y Real Audiencia, 170144 Quito","Cotocollao, Quito","https://www.google.com/maps/place/EDER+SALON+%26+BARBERIA/data=!4m7!3m6!1s0x91d585176f8ff11d:0xad9f92d90ef5b7db!8m2!3d-0.1241495!4d-78.4859581!16s%2Fg%2F11ppdwvq4p!19sChIJHfGPbxeF1ZER27f1DtmSn60?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"TU AMIGO FIEL Peluquería canina","097 928 9184","","4.4","14","https://www.instagram.com/tu.amigo.fiel.pelucanina?igsh=MTRlZ2luajRnM3AwYQ==&utm_source=qr","solo_red_social","","true","Peluquero de mascotas","Bernardo de Legarda y Mariano Jacome 151 y, 170301 Quito","Cotocollao, Quito","https://www.google.com/maps/place/TU+AMIGO+FIEL+Peluquer%C3%ADa+canina/data=!4m7!3m6!1s0x91d5850026a50a15:0x4aba2deb25c38547!8m2!3d-0.1152591!4d-78.5007916!16s%2Fg%2F11w7cs1_yd!19sChIJFQqlJgCF1ZERR4XDJestuko?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Jhon Valero Beauty & Coffee","098 741 8011","","4.5","175","","ninguno","","true","Centro de estética","Av Clemente Yerovi, e y Av. Isidro Ayora, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Jhon+Valero+Beauty+%26+Coffee/data=!4m7!3m6!1s0x91d58f5dffca7ac7:0x7226a0598c35bf0f!8m2!3d-0.0916246!4d-78.4677766!16s%2Fg%2F11ckqrws61!19sChIJx3rK_12P1ZERD781jFmgJnI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"WOOW SPA","098 601 5001","","4.8","13","","ninguno","","true","Spa","Rafael Carvajal 170120, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/WOOW+SPA/data=!4m7!3m6!1s0x91d58f6cd7fb7393:0xb4038f410b9c7c9c!8m2!3d-0.0888898!4d-78.4640252!16s%2Fg%2F11qq3c29xj!19sChIJk3P712yP1ZERnHycC0GPA7Q?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"New Station Peluqueria","098 757 0519","","4.7","56","https://www.instagram.com/newstation.ec?r=nametaghttps://www.instagram.com/newstation.ec?r=nametag","solo_red_social","","true","Peluquería","Hernando de Paredes oe215 y, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/New+Station+Peluqueria/data=!4m7!3m6!1s0x91d58f5f92703125:0xde45ca47ee621676!8m2!3d-0.0903099!4d-78.4744829!16s%2Fg%2F11c1njgb65!19sChIJJTFwkl-P1ZERdhZi7kfKRd4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Barberia Gentleman Barber Club Peluquería","099 286 4926","","4.8","122","","ninguno","","true","Barbería","y J. Guadalupe, Francisco Ruiz, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Barberia+Gentleman+Barber+Club+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d58fdb720c4231:0x525f4328c7d51ed4!8m2!3d-0.0893527!4d-78.4709312!16s%2Fg%2F11qpkbsc1t!19sChIJMUIMctuP1ZER1B7VxyhDX1I?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"EXCLUSIVO PARA HOMBRES FIELES","","","5","20","","ninguno","","true","Barbería","Avenida Clemente Yerovi Indaburu, 170102 Quito","Carcelén, Quito","https://www.google.com/maps/place/EXCLUSIVO+PARA+HOMBRES+FIELES/data=!4m7!3m6!1s0x91d58f10ec6e95e5:0x87a96a992cceb42c!8m2!3d-0.0911802!4d-78.4720385!16s%2Fg%2F11z3_0rl6r!19sChIJ5ZVu7BCP1ZERLLTOLJlqqYc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"CONDE'S BARBER SHOP","099 566 0178","","5","36","","ninguno","","true","Barbería","170511, Quito","Carcelén, Quito","https://www.google.com/maps/place/CONDE%27S+BARBER+SHOP/data=!4m7!3m6!1s0x91d58f816c42f6e3:0xd311b5771cf911ec!8m2!3d-0.0916192!4d-78.4680368!16s%2Fg%2F11w2g4d4c6!19sChIJ4_ZCbIGP1ZER7BH5HHe1EdM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Divinas Peluquería Y SPA","(02) 247-2699","","4.4","8","","ninguno","","true","Spa","República Dominicana y Alonso de Jerez N8076, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Divinas+Peluquer%C3%ADa+Y+SPA/data=!4m7!3m6!1s0x91d58f5c26fe9827:0xc3481dad69160409!8m2!3d-0.0885561!4d-78.4692337!16s%2Fg%2F11cp8nb_x4!19sChIJJ5j-JlyP1ZERCQQWaa0dSMM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Kaprichos Peluqueria","(02) 247-2520","","4.4","20","","ninguno","","true","Centro de estética","Avenida, República Dominicana N82-70, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Kaprichos+Peluqueria/data=!4m7!3m6!1s0x91d58f5bff28cc51:0x37be88fa5c6ff409!8m2!3d-0.0866334!4d-78.4691926!16s%2Fg%2F11g4jh6yr2!19sChIJUcwo_1uP1ZERCfRvXPqIvjc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Magnific","(02) 247-3034","","4.6","71","","ninguno","","true","Centro de estética","WG6J+MWR, República Dominicana, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Magnific/data=!4m7!3m6!1s0x91d58f5c43e06b61:0x5abd367a8f7dd84b!8m2!3d-0.0882671!4d-78.467729!16s%2Fg%2F11gjs1ztx6!19sChIJYWvgQ1yP1ZERS9h9j3o2vVo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Faiber","099 550 2961","","5","10","","ninguno","","true","Peluquería","Calle, Francisco del Campo Oe3-87 y, 170302 Quito","Carcelén, Quito","https://www.google.com/maps/place/Faiber/data=!4m7!3m6!1s0x91d58f5f16d9bb75:0xcbd7f44dc140bc7b!8m2!3d-0.088295!4d-78.4732558!16s%2Fg%2F11gvwsmcpr!19sChIJdbvZFl-P1ZERe7xAwU3018s?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria Juvenil","099 739 5949","","4.8","17","","ninguno","","true","Peluquería","WG6G+C6V, Rodrigo Muñoz, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Peluqueria+Juvenil/data=!4m7!3m6!1s0x91d58f5f70a93a85:0x3932b9665760d249!8m2!3d-0.0888864!4d-78.47445!16s%2Fg%2F11c52627hl!19sChIJhTqpcF-P1ZERSdJgV2a5Mjk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"brooklyn barber shop","(02) 381-3831","","4.3","84","","ninguno","","true","Barbería","francisco del campo, Francisco Ruiz y Francisco Velásquez, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/brooklyn+barber+shop/data=!4m7!3m6!1s0x91d58fc77fed4ab5:0x53daaa5caf0b4e48!8m2!3d-0.0882389!4d-78.4748121!16s%2Fg%2F11pywm4dzx!19sChIJtUrtf8eP1ZERSE4Lr1yq2lM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Reylin Peluqueria","098 187 1060","","4.9","26","https://www.facebook.com/Reylin-Peluqueria-629454597517687/","solo_red_social","","true","Peluquería","Francisco del campo, y y Av. Jaime Roldós Aguilera, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/Reylin+Peluqueria/data=!4m7!3m6!1s0x91d585907d6d5b3b:0x34f7974bb6045291!8m2!3d-0.0880368!4d-78.4758254!16s%2Fg%2F11h75jmx5r!19sChIJO1ttfZCF1ZERkVIEtkuX9zQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"BioStetic Spa & Academia Carcelén","099 506 8559","","4.9","301","https://www.canva.com/design/DAFv4PPsIt4/neEpfKrsz0JVByZn5AW-5g/view?website#2","sitio_propio","","false","Spa","Av Diego Vásquez de Cepeda, Y y N77D, 170302 Quito","Carcelén, Quito","https://www.google.com/maps/place/BioStetic+Spa+%26+Academia+Carcel%C3%A9n/data=!4m7!3m6!1s0x91d5854097673315:0x72dd19135bfb3725!8m2!3d-0.0911161!4d-78.4754051!16s%2Fg%2F11wgd87j1d!19sChIJFTNnl0CF1ZERJTf7WxMZ3XI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"MEN’S BARBER & ACADEMY - CARCELÉN","098 851 3030","mensuiospa@gmail.com","4.5","129","https://mensecuador.com/","sitio_propio","2026","false","Barbería","WG8H+42Q Milán Plaza, Av. Jaime Roldós Aguilera, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/MEN%E2%80%99S+BARBER+%26+ACADEMY+-+CARCEL%C3%89N/data=!4m7!3m6!1s0x91d58f095f6582f1:0x417290590949f2b4!8m2!3d-0.0843896!4d-78.4719135!16s%2Fg%2F11y8zmzrgr!19sChIJ8YJlXwmP1ZERtPJJCVmQckE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"M&M Hair Studio ec","098 799 0922","","4.4","18","","ninguno","","true","Peluquería","Av. Jaime Roldós Aguilera 82 -142 y, Diego Torres 170120, Quito","Carcelén, Quito","https://www.google.com/maps/place/M%26M+Hair+Studio+ec/data=!4m7!3m6!1s0x91d5853fbff9816b:0x7164fe32f51882f0!8m2!3d-0.0856266!4d-78.4728959!16s%2Fg%2F11f2gsp5_h!19sChIJa4H5vz-F1ZER8IIY9TL-ZHE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"PELUQUERIA BARBERIA ""CARPE DIEM""","099 836 2524","","4.9","101","","ninguno","","true","Barbería","Carapungo, Rio Amazonas 0e11-288 y, Rio Cuyabeno, 170203 Quito","Carcelén, Quito","https://www.google.com/maps/place/PELUQUERIA+BARBERIA+%22CARPE+DIEM%22/data=!4m7!3m6!1s0x91d58f4dda5b6a8d:0xbe23ddfe27d5cd25!8m2!3d-0.1020273!4d-78.4527892!16s%2Fg%2F11fct1327b!19sChIJjWpb2k2P1ZERJc3VJ_7dI74?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluquería Classyc","(02) 242-7125","","4.5","27","","ninguno","","true","Centro de estética","Carihuairazo N15-106, 170204 Quito","Carcelén, Quito","https://www.google.com/maps/place/Peluquer%C3%ADa+Classyc/data=!4m7!3m6!1s0x91d58f6b48e183b3:0x93dbcb1250d5c9af!8m2!3d-0.0950635!4d-78.4529066!16s%2Fg%2F11g9sx01bv!19sChIJs4PhSGuP1ZERr8nVUBLL25M?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"D' CESAR STYLES Black & White BARBERO'S","099 377 8654","","4.8","81","","ninguno","","true","Barbería","WG6G+667, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/D%27+CESAR+STYLES+Black+%26+White+BARBERO%27S/data=!4m7!3m6!1s0x91d58f5f9d38beb7:0xe3523470c35a61be!8m2!3d-0.0894543!4d-78.4744677!16s%2Fg%2F11glyc8453!19sChIJt744nV-P1ZERvmFaw3A0UuM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Peluqueria La Pelu.","096 776 7958","","4.4","7","","ninguno","","true","Peluquería","WG2W+QJR, Av. Padre Luis Vaccari, 170203 Quito","Carcelén, Quito","https://www.google.com/maps/place/Peluqueria+La+Pelu./data=!4m7!3m6!1s0x91d58fab7344af79:0xf3ba46dc3ddcb520!8m2!3d-0.098021!4d-78.4534925!16s%2Fg%2F11rrf8jrgj!19sChIJea9Ec6uP1ZERILXcPdxGuvM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"SPA DE UÑAS VICTORIA SECRETS CARCELEN","099 512 1021","","4.4","118","https://www.facebook.com/victoria.secre.39589?mibextid=LQQJ4d","solo_red_social","","true","Spa de día","República Dominicana &, 170120 Quito","Carcelén, Quito","https://www.google.com/maps/place/SPA+DE+U%C3%91AS+VICTORIA+SECRETS+CARCELEN/data=!4m7!3m6!1s0x91d58f4a679608eb:0xa04aec0da429cd97!8m2!3d-0.0863954!4d-78.4692035!16s%2Fg%2F11j0twx573!19sChIJ6wiWZ0qP1ZERl80ppA3sSqA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
"Secretos Peluquería & Spa de uñas.","098 776 1128","","4.4","27","","ninguno","","true","Peluquería","170204 Quito","Carcelén, Quito","https://www.google.com/maps/place/Secretos+Peluquer%C3%ADa+%26+Spa+de+u%C3%B1as./data=!4m7!3m6!1s0x91d58f1a29900473:0x791de1fa41d71bb6!8m2!3d-0.1024181!4d-78.4514059!16s%2Fg%2F11fr64yhpt!19sChIJcwSQKRqP1ZERthvXQfrhHXk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1"
